authorMeta/fans,authorMeta/name,collectCount,commentCount,createTimeISO,diggCount,isSponsored,locationMeta/city,locationMeta/locationName,shareCount,text,videoMeta/duration,webVideoUrl,playCount,brand,hour,day
30600,claudiofernandi,12,5,2024-10-08 04:08:29+00:00,59,False,Unknown,Unknown,10,3 minuman enak di fore #fore #coffee ,20,https://www.tiktok.com/@claudiofernandi/video/7423251801740283141,23900,Fore Coffee,4,Tuesday
631,pakedulubarungerti.id,3,2,2025-03-20 14:14:02+00:00,37,False,Jambi City,Fore Coffee - Sipin Jambi,5,😍 tempat nongkrong baru anak jambi 😋 1L cukup buat push ML #forecoffee #jambi #fyp ,11,https://www.tiktok.com/@pakedulubarungerti.id/video/7483894772428574007,9281,Fore Coffee,14,Thursday
7880,wadaizahra,7,4,2025-07-26 13:36:46+00:00,70,False,Banjarmasin,"Fore Coffee, Hasan Basri Banjarmasin",4,Malam mingguan kamii 🤗🤗 #fyp #fore #forecoffee ,36,https://www.tiktok.com/@wadaizahra/video/7531384075194600712,2127,Fore Coffee,13,Saturday
396,ifasya94,8,2,2025-07-20 10:41:47+00:00,48,False,Banjarmasin,"Fore Coffee, Hasan Basri Banjarmasin",4,"Afternoon coffee time again 
With FORE coffee
Nikmati waktu bersantaimu dalam berbagai suasana sambil ngopi di sini,, ( ada non kopi juga beserta snack ) 
Pelayanan ramah, parkir luas, ruangan nyaman indoor full ac maupun outdoornya

#coffeelover #forecoffee #coffeetime #enjoyment #inspiredhlife ",17,https://www.tiktok.com/@ifasya94/video/7529112468707134725,6587,Fore Coffee,10,Sunday
6180,retnx,14,14,2025-04-02 03:43:14+00:00,114,False,Unknown,Unknown,19,"Replying to @Rusia Esterlina yes 💯!!!
Baru beberapa waktu lalu cobain yang kopi tani. Bener, enakkk! 

#fore #forecoffee #foreciledug ",27,https://www.tiktok.com/@retnx/video/7488556328508558600,8014,Fore Coffee,3,Wednesday
765,kranjang_cek,1,0,2025-04-25 07:30:46+00:00,9,False,Bogor Regency,"Fore Coffee, Living World Kota Wisata",1,Ngopi dulu masee ☕️ #CapCut #forecoffee #ngopisantuy #kopisusu #storywhatsapp ,16,https://www.tiktok.com/@kranjang_cek/video/7497149917161409797,976,Fore Coffee,7,Friday
6311,hotchaleck,46,23,2025-04-24 14:47:32+00:00,948,False,Bandung City,"Fore Coffee, Bandung Indah Plaza",16,"thank you for all the knowledge and experience, i love u! ❤️ @Fore Coffee Indonesia #baristalife #coffeeaddict #coffeeshop ",23,https://www.tiktok.com/@hotchaleck/video/7496891382972435717,29800,Fore Coffee,14,Thursday
33600,forecoffee.id,24,5,2025-05-25 11:16:57+00:00,250,False,Unknown,Unknown,10,"Dopamine menu Foremin yang selalu bikin semangat jalanin hari! 🥳 

Apa dopamine menu versi Fore Friends? Coba komen dong di kolom komentar 🫵🏻

#ForeCoffee",11,https://www.tiktok.com/@forecoffee.id/video/7508340770420788488,18400,Fore Coffee,11,Sunday
180,petite_girl156,4,1,2025-05-23 12:25:04+00:00,33,False,Unknown,Banjarbaru,4,"📍Fore Coffee 
Caffee yg Aestetic juga buat WFH santuy 🍃✨🧋
#forecoffee #viraltiktok #banjarbaru ",22,https://www.tiktok.com/@petite_girl156/video/7507616149870300424,782,Fore Coffee,12,Friday
1601,rachma.737,1,1,2025-04-16 10:29:41+00:00,19,False,Sleman,"Fore Coffee - Kaliurang, Yogyakarta",3,"Jajan Kopi Fore
#kopi 
#yogyakarta 
#kuliner ",16,https://www.tiktok.com/@rachma.737/video/7493856260844981512,2018,Fore Coffee,10,Wednesday
