authorMeta/fans,authorMeta/name,collectCount,commentCount,createTimeISO,diggCount,isSponsored,locationMeta/city,locationMeta/locationName,shareCount,text,videoMeta/duration,webVideoUrl,playCount,brand
48,u3coffeecrew,0,0,22/03/2025 19.04,4,False,Unknown,Unknown,0,"We want to knowwhats your go-to U3 Coffee drink? Cast your vote & let us know why its your favorite!
?? Cold Brew  Smooth, bold & packed with energy
?? Latte  Creamy, dreamy & the perfect balance of espresso & milk
?? Espresso  Short, strong & straight to the point
Drop your pick in the comments & tag a friend who needs to try your favorite! ??
#u3coffee #unitedbycoffee #coffee #coffeelife #drinkpoll #fuelyourday",10,https://www.tiktok.com/@u3coffeecrew/video/7484603015735905579,105,Fore Coffee
913,buttercreamlattee1,5,0,20/06/2025 23.05,43,False,Samarinda,BIGmall Samarinda,61,,14,https://www.tiktok.com/@buttercreamlattee1/video/7518063405937233158,1190,Fore Coffee
1184,elaineshine,2,0,26/12/2024 22.35,67,False,Unknown,Unknown,1,Coffe taste better/made in fire!#kabyle??????? #usa????tiktok #algeria???? ,45,https://www.tiktok.com/@elaineshine/video/7452744600445340959,635,Fore Coffee
13,xx_spoileralert_xx,1,0,01/02/2025 03.52,24,False,Unknown,Unknown,0,treating RoFo like a Korean convenience store ???? #icedcoffee #rofo #korea #???????? ,24,https://www.tiktok.com/@xx_spoileralert_xx/video/7466185228390911278,759,Fore Coffee
255,ofeecoffee,1,1,26/06/2024 16.35,14,False,Unknown,Pemkab Tulungagung,9,New Vibes ??,28,https://www.tiktok.com/@ofeecoffee/video/7384743224029596934,2759,Fore Coffee
33600,forecoffee.id,21,11,24/07/2025 13.24,221,False,Unknown,Unknown,12,"Siapa di sini fans Buttercream Tiramisu Latte? ??? 

Rasa kopi susu praline berpadu dengan creamy-nya buttercream tiramisu emang selalu bikin nagih!Setiap tegukannya sukses bikin hati meleleh ?? 

Kali ini Rizky, barista Fore Coffee Wolter Monginsidi, bakal bongkar rahasia di balik kelezatan menu favoritmu itu ??

Penasaran kan rahasia di balik Buttercream Tiramisu Latte? Yuk, tonton videonya sampai habis!

#ForeCoffee #BaristaStory",35,https://www.tiktok.com/@forecoffee.id/video/7530530537610693906,6308,Fore Coffee
2675,kayyieshere,44,16,12/05/2025 21.09,693,False,Unknown,Unknown,34,"beginner friendly sih, asal makan nasi dlu ya?? #fore #coffee ",12,https://www.tiktok.com/@kayyieshere/video/7503561114882493704,14600,Fore Coffee
87,foresthreerawalumbu,63,2,02/07/2025 14.58,122,False,Bekasi City,"Foresthree Coffee & Kitchen, Rawalumbu Bekasi",11,#fpy? #trend #coffeetiktok cuss jangan lupa mampirr????@Foresthree Coffee ,13,https://www.tiktok.com/@foresthreerawalumbu/video/7522390816392776966,2146,Fore Coffee
12,plateby.plate1,114,3,27/01/2025 11.13,210,False,Unknown,Unknown,27,"how to make frothy ice coffee! ?? 

#fyp #foryoupage #coffee #icecoffeetiktok #coffeetiktok #coffeetime #coffeetok ",36,https://www.tiktok.com/@plateby.plate1/video/7464443451938032914,9659,Fore Coffee
74,kisugenk,1,0,16/05/2025 15.46,21,False,Jakarta,South Jakarta,2,"nyobain fore experience yang baru buka. honest review tempatnya nyaman banget. kemarin nyobain manual brew, pakai beans lokal dan enak banget sih. #fore #forecoffee #foreexperience #coffeeshopjakarta ",34,https://www.tiktok.com/@kisugenk/video/7504962167993601286,608,Fore Coffee
6180,retnx,14,14,02/04/2025 10.43,114,False,Unknown,Unknown,19,"Replying to @Rusia Esterlina yes ??!!!
Baru beberapa waktu lalu cobain yang kopi tani. Bener, enakkk! 

#fore #forecoffee #foreciledug ",27,https://www.tiktok.com/@retnx/video/7488556328508558600,8014,Fore Coffee
24600,digivestasi,15,17,17/04/2025 20.25,95,False,Unknown,Unknown,13,"Fore Coffee resmi IPO dan langsung naik 34%! Keren sih, tapi jangan asal ikut-ikutan cuma karena rame. Investasi itu bukan buat yang gampang FOMO, tapi buat yang siap riset dan tahan risiko.

Nah, gimana menurut kalian? Saham Fore ini layak dikoleksi atau mending nunggu dulu?

#investasi #investasisaham #saham #ipo #fore #forecoffee ",45,https://www.tiktok.com/@digivestasi/video/7494272539800210743,11800,Fore Coffee
51,forecoffeesg,0,0,29/12/2023 11.42,10,False,Singapore,Bugis Junction,0,Going into the weekend like  #sgcafehopping #singaporetiktok #sgcafe #sgtiktok #ForeCoffeeSingapore#fyp?,12,https://www.tiktok.com/@forecoffeesg/video/7317872442452577538,1156,Fore Coffee
33600,forecoffee.id,2,5,23/07/2025 11.41,19,False,Unknown,Unknown,5,"Kantong senang, kebutuhan ngopi aman dengan promo Rabu Cermat pakai BCA ???

Setiap hari Rabu, kamu bisa menikmati diskon Rp 15K untuk pembelian menu Fore favoritmu di store dengan QRIS myBCA atau Kartu Kredit BCA!

Syaratnya: 
 Min. pembelian Rp 75K
 Maks 1x transaksi/pengguna/hari
 Tidak berlaku kelipatan/split bill/ digabungkan dengan promo lainnya 
 Hanya berlaku untuk pembelian langsung di store

Buruan kunjungi Fore Store terdekat di kotamu ?????????

#forecoffee ",18,https://www.tiktok.com/@forecoffee.id/video/7530132849060564231,1721,Fore Coffee
157,slmchyrchmwt,1,0,28/02/2024 13.36,12,False,Unknown,Unknown,0,Tempat nyaman untuk wfc di Magelang cyeekk #fore #coffee ,18,https://www.tiktok.com/@slmchyrchmwt/video/7340538085165239557,1583,Fore Coffee
72,equilibriocoffeehouse,5,1,29/07/2025 04.19,81,False,Unknown,Weston,22,"???? 
-
#coffe #fyp #funny #barista #coffeeshop #coffeehouse #icedlatte #weston #florida #content #work #tiktok ",9,https://www.tiktok.com/@equilibriocoffeehouse/video/7532245225603960078,1608,Fore Coffee
257,iqbl_gegz,6,9,29/04/2025 17.59,88,False,Unknown,Jember,14,"Jember uda ada fore coffe, ga perlu jauh jauh ke sby??. #forecoffee #jember24jam #cafejember #kulinerjember ",12,https://www.tiktok.com/@iqbl_gegz/video/7498688092098891063,5256,Fore Coffee
33600,forecoffee.id,9,5,24/05/2025 17.17,49,False,Unknown,Unknown,7,"Pengen bisa nikmatin Buy 1 Get 1 terus tiap bulan? Langganan ngopi pakai MyFore Plan dong!????

Cukup berlangganan mulai dari Rp9K setiap bulannya, kamu bisa nikmati berbagai keuntungan kayak gini! 

Kapan lagi bisa ngopi sehemat ini! Yuk, langganan MyFore Plan sekarang hanya di aplikasi Fore Coffee??

#ForeCoffee",18,https://www.tiktok.com/@forecoffee.id/video/7507954323033410824,5883,Fore Coffee
255,ofeecoffee,5,1,23/11/2024 21.19,44,False,Unknown,Tulungagung,31,Selamat malam minggu ??,45,https://www.tiktok.com/@ofeecoffee/video/7440479198910745911,3489,Fore Coffee
3167,tasikasikfood,10,1,07/07/2025 17.59,39,False,Tasikmalaya City,Fore Coffee - Yudanegara,7,"sesekali kamu harus mampir sih kesini ??
#tasikasikfood #tasikasik #tasik #tasikmalaya #yukgaskeun #fore #forecoffee #fyp ",34,https://www.tiktok.com/@tasikasikfood/video/7524292953347525893,2998,Fore Coffee
