authorMeta/fans,authorMeta/name,collectCount,commentCount,createTimeISO,diggCount,isSponsored,locationMeta/locationName,shareCount,text,videoMeta/duration,webVideoUrl,playCount,brand,brand_encoded,day,hour,hour_idn,tanggal,hari_encoded,username_encoded,kota_Ada,kota_Ambon,kota_Bandung City,kota_Bandung Regency,kota_Banggai Regency,kota_Banjarmasin,kota_Banyumas Regency,kota_Batam,kota_Bekasi City,kota_Bekasi Regency,kota_Blora,kota_Bogor Regency,kota_Cianjur,kota_Cilacap,kota_Cilegon,kota_Cimahi,kota_Cirebon,kota_Cirebon City,kota_Deli Serdang Regency,kota_Denpasar City,kota_Depok,kota_East Kotawaringin Regency,kota_Fontana,kota_Fremantle,kota_Gowa Regency,kota_Grand Bay,kota_Grobogan Regency,kota_Irving,kota_Jakarta,kota_Jambi City,kota_Jeddah,kota_Jember,kota_Jepara,kota_Kendal,kota_Kota Karawang,kota_Kuningan,kota_Malang City,kota_Malang Regency,kota_Manado,kota_Mataram,kota_Morowali Regency,kota_Pasuruan Regency,kota_Pekalongan,kota_Pekanbaru,kota_Pemalang,kota_Ponorogo Regency,kota_Purworejo,kota_Samarinda,kota_Sawah Lunto,kota_Semarang City,kota_Semarang Regency,kota_Singapore,kota_Sleman,kota_South Tangerang,kota_Surabaya,kota_Surakarta City,kota_Tagaytay,kota_Tangerang City,kota_Tangerang Regency,kota_Tasikmalaya City,kota_Tegal City,kota_Unknown,kota_Weymouth and Portland,kota_Wonogiri,kota_nan
48,u3coffeecrew,0,0,2025-03-22 12:04:06+00:00,4,0,Unknown,0,"We want to know—what’s your go-to U3 Coffee drink? Cast your vote & let us know why it’s your favorite!
🔹 Cold Brew – Smooth, bold & packed with energy
🔹 Latte – Creamy, dreamy & the perfect balance of espresso & milk
🔹 Espresso – Short, strong & straight to the point
Drop your pick in the comments & tag a friend who needs to try your favorite! 👇
#u3coffee #unitedbycoffee #coffee #coffeelife #drinkpoll #fuelyourday",10,https://www.tiktok.com/@u3coffeecrew/video/7484603015735905579,105,Fore Coffee,0,Sabtu,12,12,2025-03-22,6,184,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
913,buttercreamlattee1,5,0,2025-06-20 16:05:48+00:00,43,0,BIGmall Samarinda,61,,14,https://www.tiktok.com/@buttercreamlattee1/video/7518063405937233158,1190,Fore Coffee,0,Jumat,16,16,2025-06-20,5,29,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1184,elaineshine,2,0,2024-12-26 15:35:44+00:00,67,0,Unknown,1,Coffe taste better/made in fire!#kabyle♓️♓️♓️♓ #usa🇺🇸tiktok #algeria🇩🇿 ,45,https://www.tiktok.com/@elaineshine/video/7452744600445340959,635,Fore Coffee,0,Kamis,15,15,2024-12-26,4,53,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
13,xx_spoileralert_xx,1,0,2025-01-31 20:52:40+00:00,24,0,Unknown,0,treating RoFo like a Korean convenience store 💙💚 #icedcoffee #rofo #korea #🇺🇲🇰🇷 ,24,https://www.tiktok.com/@xx_spoileralert_xx/video/7466185228390911278,759,Fore Coffee,0,Jumat,20,20,2025-01-31,5,196,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
255,ofeecoffee,1,1,2024-06-26 09:35:23+00:00,14,0,Pemkab Tulungagung,9,New Vibes 🤌,28,https://www.tiktok.com/@ofeecoffee/video/7384743224029596934,2759,Fore Coffee,0,Rabu,9,9,2024-06-26,3,134,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
33600,forecoffee.id,21,11,2025-07-24 06:24:37+00:00,221,0,Unknown,12,"Siapa di sini fans Buttercream Tiramisu Latte? 🙋‍ 

Rasa kopi susu praline berpadu dengan creamy-nya buttercream tiramisu emang selalu bikin nagih!Setiap tegukannya sukses bikin hati meleleh 🫠 

Kali ini Rizky, barista Fore Coffee Wolter Monginsidi, bakal bongkar rahasia di balik kelezatan menu favoritmu itu 🤫

Penasaran kan rahasia di balik Buttercream Tiramisu Latte? Yuk, tonton videonya sampai habis!

#ForeCoffee #BaristaStory",35,https://www.tiktok.com/@forecoffee.id/video/7530530537610693906,6308,Fore Coffee,0,Kamis,6,6,2025-07-24,4,63,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2675,kayyieshere,44,16,2025-05-12 14:09:28+00:00,693,0,Unknown,34,"beginner friendly sih, asal makan nasi dlu ya😊 #fore #coffee ",12,https://www.tiktok.com/@kayyieshere/video/7503561114882493704,14600,Fore Coffee,0,Senin,14,14,2025-05-12,1,101,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
87,foresthreerawalumbu,63,2,2025-07-02 07:58:23+00:00,122,0,"Foresthree Coffee & Kitchen, Rawalumbu Bekasi",11,#fpyシ #trend #coffeetiktok cuss jangan lupa mampirr🤗🤗@Foresthree Coffee ,13,https://www.tiktok.com/@foresthreerawalumbu/video/7522390816392776966,2146,Fore Coffee,0,Rabu,7,7,2025-07-02,3,68,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12,plateby.plate1,114,3,2025-01-27 04:13:00+00:00,210,0,Unknown,27,"how to make frothy ice coffee! ☕️ 

#fyp #foryoupage #coffee #icecoffeetiktok #coffeetiktok #coffeetime #coffeetok ",36,https://www.tiktok.com/@plateby.plate1/video/7464443451938032914,9659,Fore Coffee,0,Senin,4,4,2025-01-27,1,144,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
74,kisugenk,1,0,2025-05-16 08:46:19+00:00,21,0,South Jakarta,2,"nyobain fore experience yang baru buka. honest review tempatnya nyaman banget. kemarin nyobain manual brew, pakai beans lokal dan enak banget sih. #fore #forecoffee #foreexperience #coffeeshopjakarta ",34,https://www.tiktok.com/@kisugenk/video/7504962167993601286,608,Fore Coffee,0,Jumat,8,8,2025-05-16,5,106,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6180,retnx,14,14,2025-04-02 03:43:14+00:00,114,0,Unknown,19,"Replying to @Rusia Esterlina yes 💯!!!
Baru beberapa waktu lalu cobain yang kopi tani. Bener, enakkk! 

#fore #forecoffee #foreciledug ",27,https://www.tiktok.com/@retnx/video/7488556328508558600,8014,Fore Coffee,0,Rabu,3,3,2025-04-02,3,155,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
24600,digivestasi,15,17,2025-04-17 13:25:06+00:00,95,0,Unknown,13,"Fore Coffee resmi IPO dan langsung naik 34%! Keren sih, tapi jangan asal ikut-ikutan cuma karena rame. Investasi itu bukan buat yang gampang FOMO, tapi buat yang siap riset dan tahan risiko.

Nah, gimana menurut kalian? Saham Fore ini layak dikoleksi atau mending nunggu dulu?

#investasi #investasisaham #saham #ipo #fore #forecoffee ",45,https://www.tiktok.com/@digivestasi/video/7494272539800210743,11800,Fore Coffee,0,Kamis,13,13,2025-04-17,4,45,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
